case,attempt,expected,exit_code,decision_correct,state_correct,pre_device,pre_inode,post_device,post_inode,pre_hash,post_hash,hardlink_device,hardlink_inode,hardlink_type,audit_evidence
direct_write,64,deny,13,1,1,37,197298,37,197298,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197298,sentinelpath_protected_t,bounded_avc_log
direct_write,65,deny,13,1,1,37,197313,37,197313,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197313,sentinelpath_protected_t,bounded_avc_log
direct_write,66,deny,13,1,1,37,197326,37,197326,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197326,sentinelpath_protected_t,bounded_avc_log
direct_write,67,deny,13,1,1,37,197340,37,197340,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197340,sentinelpath_protected_t,bounded_avc_log
direct_write,68,deny,13,1,1,37,197355,37,197355,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197355,sentinelpath_protected_t,bounded_avc_log
direct_write,69,deny,13,1,1,37,197365,37,197365,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197365,sentinelpath_protected_t,bounded_avc_log
direct_write,70,deny,13,1,1,37,197372,37,197372,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197372,sentinelpath_protected_t,bounded_avc_log
direct_write,71,deny,13,1,1,37,197399,37,197399,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197399,sentinelpath_protected_t,bounded_avc_log
direct_write,72,deny,13,1,1,37,197410,37,197410,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197410,sentinelpath_protected_t,bounded_avc_log
direct_write,73,deny,13,1,1,37,197426,37,197426,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197426,sentinelpath_protected_t,bounded_avc_log
direct_write,74,deny,13,1,1,37,197438,37,197438,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197438,sentinelpath_protected_t,bounded_avc_log
direct_write,75,deny,13,1,1,37,197452,37,197452,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197452,sentinelpath_protected_t,bounded_avc_log
direct_write,76,deny,13,1,1,37,197468,37,197468,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197468,sentinelpath_protected_t,bounded_avc_log
direct_write,77,deny,13,1,1,37,197483,37,197483,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197483,sentinelpath_protected_t,bounded_avc_log
direct_write,78,deny,13,1,1,37,197494,37,197494,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197494,sentinelpath_protected_t,bounded_avc_log
direct_write,79,deny,13,1,1,37,197509,37,197509,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197509,sentinelpath_protected_t,bounded_avc_log
direct_write,80,deny,13,1,1,37,197525,37,197525,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197525,sentinelpath_protected_t,bounded_avc_log
direct_write,81,deny,13,1,1,37,197538,37,197538,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197538,sentinelpath_protected_t,bounded_avc_log
direct_write,82,deny,13,1,1,37,197553,37,197553,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197553,sentinelpath_protected_t,bounded_avc_log
direct_write,83,deny,13,1,1,37,197566,37,197566,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197566,sentinelpath_protected_t,bounded_avc_log
direct_write,84,deny,13,1,1,37,197582,37,197582,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197582,sentinelpath_protected_t,bounded_avc_log
