condition,trial,iterations,allowed,denied,total_ns,ns_per_operation
monitored_unrelated_write,23,5000,5000,0,32974100,6594.820
protected_read,23,5000,5000,0,29508400,5901.680
protected_unauthorized_write,23,1000,0,1000,3840500,3840.500
protected_authorized_write,23,1000,1000,0,11880000,11880.000
monitored_unrelated_write,24,5000,5000,0,31464600,6292.920
protected_read,24,5000,5000,0,31769100,6353.820
protected_unauthorized_write,24,1000,0,1000,6941200,6941.200
protected_authorized_write,24,1000,1000,0,17784400,17784.400
monitored_unrelated_write,25,5000,5000,0,29542400,5908.480
protected_read,25,5000,5000,0,28479500,5695.900
protected_unauthorized_write,25,1000,0,1000,3612300,3612.300
protected_authorized_write,25,1000,1000,0,9046700,9046.700
monitored_unrelated_write,26,5000,5000,0,28283200,5656.640
protected_read,26,5000,5000,0,30707800,6141.560
protected_unauthorized_write,26,1000,0,1000,3914000,3914.000
protected_authorized_write,26,1000,1000,0,7782100,7782.100
monitored_unrelated_write,27,5000,5000,0,33084800,6616.960
protected_read,27,5000,5000,0,33525100,6705.020
protected_unauthorized_write,27,1000,0,1000,4801700,4801.700
protected_authorized_write,27,1000,1000,0,16527200,16527.200
monitored_unrelated_write,28,5000,5000,0,33165500,6633.100
protected_read,28,5000,5000,0,25437800,5087.560
protected_unauthorized_write,28,1000,0,1000,4685700,4685.700
protected_authorized_write,28,1000,1000,0,10214700,10214.700
monitored_unrelated_write,29,5000,5000,0,36832900,7366.580
protected_read,29,5000,5000,0,31507500,6301.500
protected_unauthorized_write,29,1000,0,1000,5275200,5275.200
protected_authorized_write,29,1000,1000,0,7000800,7000.800
monitored_unrelated_write,30,5000,5000,0,33874900,6774.980
protected_read,30,5000,5000,0,30494400,6098.880
protected_unauthorized_write,30,1000,0,1000,4524300,4524.300
protected_authorized_write,30,1000,1000,0,9888900,9888.900
