mechanism,case,trial,expected,command_rc,decision_correct,state_correct,observed
AppArmor,rename_away,92,deny,1,1,1,deny
AppArmor,rename_away,93,deny,1,1,1,deny
AppArmor,rename_away,94,deny,1,1,1,deny
AppArmor,rename_away,95,deny,1,1,1,deny
AppArmor,rename_away,96,deny,1,1,1,deny
AppArmor,rename_away,97,deny,1,1,1,deny
AppArmor,rename_away,98,deny,1,1,1,deny
AppArmor,rename_away,99,deny,1,1,1,deny
AppArmor,rename_away,100,deny,1,1,1,deny
AppArmor,unlink,1,deny,1,1,1,deny
AppArmor,unlink,2,deny,1,1,1,deny
AppArmor,unlink,3,deny,1,1,1,deny
AppArmor,unlink,4,deny,1,1,1,deny
AppArmor,unlink,5,deny,1,1,1,deny
AppArmor,unlink,6,deny,1,1,1,deny
AppArmor,unlink,7,deny,1,1,1,deny
AppArmor,unlink,8,deny,1,1,1,deny
AppArmor,unlink,9,deny,1,1,1,deny
AppArmor,unlink,10,deny,1,1,1,deny
AppArmor,unlink,11,deny,1,1,1,deny
AppArmor,unlink,12,deny,1,1,1,deny
AppArmor,unlink,13,deny,1,1,1,deny
AppArmor,unlink,14,deny,1,1,1,deny
AppArmor,unlink,15,deny,1,1,1,deny
AppArmor,unlink,16,deny,1,1,1,deny
AppArmor,unlink,17,deny,1,1,1,deny
AppArmor,unlink,18,deny,1,1,1,deny
AppArmor,unlink,19,deny,1,1,1,deny
AppArmor,unlink,20,deny,1,1,1,deny
AppArmor,unlink,21,deny,1,1,1,deny
AppArmor,unlink,22,deny,1,1,1,deny
AppArmor,unlink,23,deny,1,1,1,deny
AppArmor,unlink,24,deny,1,1,1,deny
AppArmor,unlink,25,deny,1,1,1,deny
AppArmor,unlink,26,deny,1,1,1,deny
AppArmor,unlink,27,deny,1,1,1,deny
AppArmor,unlink,28,deny,1,1,1,deny
AppArmor,unlink,29,deny,1,1,1,deny
AppArmor,unlink,30,deny,1,1,1,deny
AppArmor,unlink,31,deny,1,1,1,deny
AppArmor,unlink,32,deny,1,1,1,deny
AppArmor,unlink,33,deny,1,1,1,deny
AppArmor,unlink,34,deny,1,1,1,deny
AppArmor,unlink,35,deny,1,1,1,deny
AppArmor,unlink,36,deny,1,1,1,deny
AppArmor,unlink,37,deny,1,1,1,deny
AppArmor,unlink,38,deny,1,1,1,deny
AppArmor,unlink,39,deny,1,1,1,deny
AppArmor,unlink,40,deny,1,1,1,deny
AppArmor,unlink,41,deny,1,1,1,deny
AppArmor,unlink,42,deny,1,1,1,deny
AppArmor,unlink,43,deny,1,1,1,deny
AppArmor,unlink,44,deny,1,1,1,deny
AppArmor,unlink,45,deny,1,1,1,deny
AppArmor,unlink,46,deny,1,1,1,deny
AppArmor,unlink,47,deny,1,1,1,deny
AppArmor,unlink,48,deny,1,1,1,deny
AppArmor,unlink,49,deny,1,1,1,deny
AppArmor,unlink,50,deny,1,1,1,deny
AppArmor,unlink,51,deny,1,1,1,deny
AppArmor,unlink,52,deny,1,1,1,deny
AppArmor,unlink,53,deny,1,1,1,deny
AppArmor,unlink,54,deny,1,1,1,deny
AppArmor,unlink,55,deny,1,1,1,deny
AppArmor,unlink,56,deny,1,1,1,deny
AppArmor,unlink,57,deny,1,1,1,deny
AppArmor,unlink,58,deny,1,1,1,deny
AppArmor,unlink,59,deny,1,1,1,deny
AppArmor,unlink,60,deny,1,1,1,deny
AppArmor,unlink,61,deny,1,1,1,deny
AppArmor,unlink,62,deny,1,1,1,deny
AppArmor,unlink,63,deny,1,1,1,deny
AppArmor,unlink,64,deny,1,1,1,deny
AppArmor,unlink,65,deny,1,1,1,deny
AppArmor,unlink,66,deny,1,1,1,deny
AppArmor,unlink,67,deny,1,1,1,deny
AppArmor,unlink,68,deny,1,1,1,deny
AppArmor,unlink,69,deny,1,1,1,deny
AppArmor,unlink,70,deny,1,1,1,deny
AppArmor,unlink,71,deny,1,1,1,deny
AppArmor,unlink,72,deny,1,1,1,deny
AppArmor,unlink,73,deny,1,1,1,deny
AppArmor,unlink,74,deny,1,1,1,deny
AppArmor,unlink,75,deny,1,1,1,deny
AppArmor,unlink,76,deny,1,1,1,deny
AppArmor,unlink,77,deny,1,1,1,deny
AppArmor,unlink,78,deny,1,1,1,deny
AppArmor,unlink,79,deny,1,1,1,deny
AppArmor,unlink,80,deny,1,1,1,deny
AppArmor,unlink,81,deny,1,1,1,deny
AppArmor,unlink,82,deny,1,1,1,deny
AppArmor,unlink,83,deny,1,1,1,deny
AppArmor,unlink,84,deny,1,1,1,deny
AppArmor,unlink,85,deny,1,1,1,deny
AppArmor,unlink,86,deny,1,1,1,deny
AppArmor,unlink,87,deny,1,1,1,deny
AppArmor,unlink,88,deny,1,1,1,deny
AppArmor,unlink,89,deny,1,1,1,deny
AppArmor,unlink,90,deny,1,1,1,deny
AppArmor,unlink,91,deny,1,1,1,deny
AppArmor,unlink,92,deny,1,1,1,deny
AppArmor,unlink,93,deny,1,1,1,deny
AppArmor,unlink,94,deny,1,1,1,deny
AppArmor,unlink,95,deny,1,1,1,deny
AppArmor,unlink,96,deny,1,1,1,deny
AppArmor,unlink,97,deny,1,1,1,deny
AppArmor,unlink,98,deny,1,1,1,deny
AppArmor,unlink,99,deny,1,1,1,deny
AppArmor,unlink,100,deny,1,1,1,deny
AppArmor,rename_overwrite,1,deny,1,1,1,deny
AppArmor,rename_overwrite,2,deny,1,1,1,deny
AppArmor,rename_overwrite,3,deny,1,1,1,deny
AppArmor,rename_overwrite,4,deny,1,1,1,deny
AppArmor,rename_overwrite,5,deny,1,1,1,deny
AppArmor,rename_overwrite,6,deny,1,1,1,deny
AppArmor,rename_overwrite,7,deny,1,1,1,deny
AppArmor,rename_overwrite,8,deny,1,1,1,deny
AppArmor,rename_overwrite,9,deny,1,1,1,deny
AppArmor,rename_overwrite,10,deny,1,1,1,deny
AppArmor,rename_overwrite,11,deny,1,1,1,deny
AppArmor,rename_overwrite,12,deny,1,1,1,deny
AppArmor,rename_overwrite,13,deny,1,1,1,deny
AppArmor,rename_overwrite,14,deny,1,1,1,deny
AppArmor,rename_overwrite,15,deny,1,1,1,deny
AppArmor,rename_overwrite,16,deny,1,1,1,deny
AppArmor,rename_overwrite,17,deny,1,1,1,deny
AppArmor,rename_overwrite,18,deny,1,1,1,deny
AppArmor,rename_overwrite,19,deny,1,1,1,deny
AppArmor,rename_overwrite,20,deny,1,1,1,deny
AppArmor,rename_overwrite,21,deny,1,1,1,deny
AppArmor,rename_overwrite,22,deny,1,1,1,deny
AppArmor,rename_overwrite,23,deny,1,1,1,deny
AppArmor,rename_overwrite,24,deny,1,1,1,deny
AppArmor,rename_overwrite,25,deny,1,1,1,deny
AppArmor,rename_overwrite,26,deny,1,1,1,deny
AppArmor,rename_overwrite,27,deny,1,1,1,deny
AppArmor,rename_overwrite,28,deny,1,1,1,deny
AppArmor,rename_overwrite,29,deny,1,1,1,deny
AppArmor,rename_overwrite,30,deny,1,1,1,deny
AppArmor,rename_overwrite,31,deny,1,1,1,deny
AppArmor,rename_overwrite,32,deny,1,1,1,deny
AppArmor,rename_overwrite,33,deny,1,1,1,deny
AppArmor,rename_overwrite,34,deny,1,1,1,deny
AppArmor,rename_overwrite,35,deny,1,1,1,deny
AppArmor,rename_overwrite,36,deny,1,1,1,deny
AppArmor,rename_overwrite,37,deny,1,1,1,deny
AppArmor,rename_overwrite,38,deny,1,1,1,deny
AppArmor,rename_overwrite,39,deny,1,1,1,deny
AppArmor,rename_overwrite,40,deny,1,1,1,deny
AppArmor,rename_overwrite,41,deny,1,1,1,deny
AppArmor,rename_overwrite,42,deny,1,1,1,deny
